FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
54,115,18135,11825,,0,,,0,,0,151
63,147,20250,13581,,0,,,0,,0,210
57,123,18481,12174,,0,,,0,,0,158
56,125,18776,12507,,0,,,0,,0,170
57,121,19079,12704,,0,,,0,,0,157
56,126,19036,12646,,0,,,0,,0,213
92,229,20185,12177,,0,,,0,,0,218
117,287,17828,9852,,0,,,0,,0,233
64,149,20895,14298,,0,,,0,,0,180
60,134,20671,13974,,0,,,0,,0,163
54,117,17628,11461,,0,,,0,,0,160
54,115,17481,11276,,0,,,0,,0,149
58,128,18374,12231,,0,,,0,,0,186
56,125,18776,12507,,0,,,0,,0,151
54,113,19093,12456,,0,,,0,,0,149
56,124,19146,12681,,0,,,0,,0,152
56,124,19146,12681,,0,,,0,,0,170
64,146,21235,14292,,0,,,0,,0,186
57,121,19159,12582,,0,,,0,,0,145
59,131,19379,12994,,0,,,0,,0,189
51,111,17902,11576,,0,,,0,,0,141
57,124,19007,12711,,0,,,0,,0,156
56,126,19387,13006,,0,,,0,,0,190
57,121,18516,12115,,0,,,0,,0,158
54,115,18993,12318,,0,,,0,,0,165
59,131,19379,12994,,0,,,0,,0,157
60,135,20030,13524,,0,,,0,,0,189
